country,rating,wine_name,winery_name,ratings_count,wine_type,region,is_natural
Chile,3.9,Reserva Especial Carménère,Terranoble,341,Red,Aconcagua Valley,FALSE
Australia,3.3,Regional Series Chardonnay,Lindeman's,666,White,Adelaide Hills,FALSE
Argentina,3.6,Alto Agrelo Grande Reserve Malbec,Alta Vista,154,Red,Agrelo,FALSE
Argentina,4,Lote Agrelo Malbec,Bodega Norton,2088,Red,Agrelo,FALSE
Argentina,3.9,Appellation Agrelo Cabernet Sauvignon,Catena,3850,Red,Agrelo,FALSE
Argentina,4.2,Appellation Agrelo Malbec,Catena,1273,Red,Agrelo,FALSE
Argentina,3.5,Cabernet Sauvignon,Crios,6437,Red,Agrelo,FALSE
Argentina,3.8,Sustentia Malbec,Crios,181,Red,Agrelo,FALSE
Argentina,3.8,Sustentia Cabernet Sauvignon,Crios,72,Red,Agrelo,FALSE
Argentina,4.2,Signature Brioso,Susana Balbo,20905,Red,Agrelo,FALSE
Argentina,4.6,Nosotros Single Vineyard Nómade,Susana Balbo,11711,Red,Agrelo,FALSE
Argentina,4.1,Brioso Single Vineyard,Susana Balbo,350,Red,Agrelo,FALSE
Argentina,3.4,Cabernet Sauvignon,Séptima,4796,Red,Agrelo,FALSE
Argentina,3.4,Syrah,Séptima,1206,Red,Agrelo,FALSE
Argentina,4,Tierra 1050 Msnm Malbec,Séptima,869,Red,Agrelo,FALSE
Argentina,3.4,Tempranillo,Séptima,761,Red,Agrelo,FALSE
Argentina,3.8,Obra Tardio Gewürztraminer,Séptima,368,Dessert,Agrelo,FALSE
Argentina,3.3,Extra Brut,Séptima,122,Sparkling,Agrelo,FALSE
France,3.8,Les Éléments Riesling,Bott-Geyl,2399,White,Alsace,FALSE
France,3.9,Points Cardinaux Métiss,Bott-Geyl,2384,White,Alsace,FALSE
France,3.7,Pinot Gris Les Èléments,Bott-Geyl,1871,White,Alsace,FALSE
France,3.9,Gewürztraminer Les Èléments,Bott-Geyl,1594,White,Alsace,FALSE
France,3.8,Métiss,Bott-Geyl,1530,White,Alsace,FALSE
France,4.1,Riesling Grafenreben Lieu-Dit,Bott-Geyl,820,White,Alsace,FALSE
France,3.7,Riesling Jules Geyl,Bott-Geyl,764,White,Alsace,FALSE
France,3.7,Muscat Les Eléments,Bott-Geyl,483,White,Alsace,FALSE
France,3.7,Pinot Noir Galets Oligocène,Bott-Geyl,435,Red,Alsace,FALSE
France,3.9,Gewürztraminer Jules Geyl,Bott-Geyl,384,White,Alsace,FALSE
France,3.8,Pinot Blanc Jules Geyl,Bott-Geyl,204,White,Alsace,FALSE
France,4,Lieu-Dit Riesling Burgreben,Bott-Geyl,179,White,Alsace,FALSE
France,3.6,Pinot Noir Jules Geyl,Bott-Geyl,102,Red,Alsace,FALSE
France,4.1,Riesling Grafenreben Cru D'alsace,Bott-Geyl,99,White,Alsace,FALSE
France,4,Rosé D'alsace Jules Geyl,Bott-Geyl,80,Rosé,Alsace,FALSE
France,3.8,Riesling,Bott-Geyl,69,White,Alsace,FALSE
France,4,Pinot Noir Origines,Bott-Geyl,53,Red,Alsace,FALSE
France,3.9,Pinot D'alsace Beblenheim,Bott-Geyl,48,White,Alsace,FALSE
France,4.2,Vieilles Vignes Gewurztraminer Clos Des 3 Chemins,Bott-Geyl,43,White,Alsace,FALSE
France,4.5,Bottrytis L'exception Vieilles Vignes Riesling,Bott-Geyl,41,White,Alsace,FALSE
France,3.6,Pinot Gris Jules Geyl,Bott-Geyl,36,White,Alsace,FALSE
France,4.1,Clos Des Capucins Riesling Alsace Réserve,Domaine Weinbach,2505,White,Alsace,FALSE
France,4,Clos Des Capucins Pinot Blanc Alsace Réserve,Domaine Weinbach,1556,White,Alsace,FALSE
France,4.2,Clos Des Capucins Cuvée Sainte Catherine Riesling Alsace,Domaine Weinbach,1353,White,Alsace,FALSE
France,4.1,Clos Des Capucins Gewürztraminer Alsace Cuvée Théo,Domaine Weinbach,1286,White,Alsace,FALSE
France,4.1,Clos Des Capucins Pinot Gris Alsace,Domaine Weinbach,1090,White,Alsace,FALSE
France,4.2,Clos Des Capucins Cuvée Sainte Catherine Alsace Pinot Gris,Domaine Weinbach,1061,White,Alsace,FALSE
France,4,Clos Des Capucins Riesling Alsace Réserve Personnelle,Domaine Weinbach,819,White,Alsace,FALSE
France,4.1,Clos Des Capucins Gewürztraminer Alsace Cuvée Laurence,Domaine Weinbach,752,White,Alsace,FALSE
France,4,Les Vignes Du Prêcheurs,Domaine Weinbach,756,White,Alsace,FALSE
France,3.8,Clos Des Capucins Sylvaner Alsace Réserve,Domaine Weinbach,691,White,Alsace,FALSE
France,4,Pinot Blanc,Domaine Weinbach,657,White,Alsace,FALSE
France,4,Clos Des Capucins Pinot Noir,Domaine Weinbach,645,Red,Alsace,FALSE
France,4,Clos Des Capucins Pinot Gris Alsace Réserve Particuliére,Domaine Weinbach,586,White,Alsace,FALSE
France,4,Gewürztraminer Les Treilles Du Loup,Domaine Weinbach,599,White,Alsace,FALSE
France,4,Riesling,Domaine Weinbach,502,White,Alsace,FALSE
